題號,題目,選項1,選項2,選項3,選項4,答案,答案精簡說明
61,某消費者在購買單價較高的筆記型電腦時，會花費大量時間上網搜尋評價、比較規格並諮詢朋友意見；但在購買超商飲料時，則僅憑直覺挑選。這說明了該消費者對此兩類產品的什麼心理特質不同？,認知偏誤 (Cognitive Bias),品牌忠誠度 (Brand Loyalty),涉入程度 (Involvement),知覺品質 (Perceived Quality),3,1.正確： 涉入是指消費者因產品的重要性、風險或情感關聯引發的心理參與深度，高單價商品通常屬高涉入。<br>2.錯誤： (B)涉及重複購買；(D)是主觀評價。
62,一家連鎖速食店發現其早餐銷量下滑，但「不清楚原因為何」。為了找出潛在的根本問題並挖掘消費者未被滿足的需求，該公司應優先採取哪一種研究設計？,敘述性研究 (Descriptive Research),探索性研究 (Exploratory Research),因果性研究 (Causal Research),績效評估研究,2,1.正確： 探索性研究用於問題性質尚不明確時，旨在尋找根本性質或挖掘潛在需求。<br>2.錯誤： (A)用於描述現狀；(C)用於驗證變數間的因果關係。
63,每逢農曆春節、端午節與中秋節，各大百貨公司都會針對「送禮需求」推出高質感的精美禮盒。這種根據消費者「採購時機」進行市場劃分的做法，屬於 STP 策略中的哪類變數？,地理變數 (Geographic),人口統計變數 (Demographic),心理變數 (Psychographic),行為變數 (Behavioral),4,1.正確： 「場合」或「採購時機」屬於行為變數中的一種細分方式。<br>2.錯誤： (B)涉及年齡所得；(C)涉及生活型態。
64,根據消費者態度之心理結構，若某人表示：「我『知道』A 牌手機的處理器速度最快（認知），我也『很喜歡』它簡約的設計（情感）」。若此人最後決定『下單購買』，這體現了態度的哪一項成分？,認知因素,情感因素,行為意圖 (Behavioral Intent),選擇性保留,3,1.正確： 態度的行為成分是指採取行動或購買的意願與傾向。<br>2.錯誤： (A)是信念；(B)是情感投射。
65,某企業在評估目標市場時，發現 A 區隔市場的消費者雖然對產品非常有興趣，但該群體總人數過少且購買力低，導致獲利空間不足以支撐研發成本。這代表該區隔市場不符合哪項準則？,可衡量性 (Measurability),足量性 (Substantiality),可接近性 (Accessibility),可行動性 (Actionability),2,1.正確： 足量性（或足規模性）要求市場區隔必須夠大、夠賺錢，值得投入資源。<br>2.錯誤： (A)指規模可測；(C)指能接觸。
66,某經典款球鞋進入成熟期後，市場競爭加劇導致利潤下滑。此時品牌決定推出「老客戶回娘家」與「點數加倍送」等計畫。此行銷策略的核心目標為何？,建立知名度並促使試用,強化品牌偏好以擴大市佔率,穩固重複購買並提升忠誠度,減量經營以回收殘餘利潤,3,1.正確： 成熟期的重心應在於防禦競爭、維持市佔，並透過忠誠計畫深化客群關係。<br>2.錯誤： (A)屬導入期；(B)屬成長期。
67,小明在買咖啡時，原本考慮星巴克、路易莎與 85度C，但因為今天下大雨，他最後選擇了距離公司最近的便利商店咖啡。在購買決策過程中，這最後「被納入考慮名單」的品牌集合稱為？,整體集合,知曉集合 (Awareness Set),考慮集合 (Consideration Set),選擇性集合,3,1.正確： 考慮集合是指消費者在評估後，列入最終購買清單的品牌。<br>2.錯誤： (A)是市場所有品牌；(B)是僅止於「知道」的品牌。
68,某企業在撰寫年度行銷企劃書時，將「過去一年市場佔有率下滑 10%」列入分析。請問這項因素在 SWOT 模型中應如何歸類？,外部威脅 (Threat),外部機會 (Opportunity),內部劣勢 (Weakness),內部優勢 (Strength),3,1.正確： 市佔率下滑屬於企業內部的績效表現與競爭弱點，應歸類為劣勢。<br>2.錯誤： 許多考生會誤選(A)，但威脅必須來自外部環境（如法規、對手）。
69,Netflix 為了增加營收，除了開發新影集外，更透過「個人化推薦系統」分析既有會員的觀影偏好，進而增加會員的觀看時長與續訂意願。在安索夫矩陣中，這屬於哪種策略？,市場滲透 (Market Penetration),市場開發 (Market Development),產品開發 (Product Development),多角化 (Diversification),1,1.正確： 針對現有市場（既有會員）推廣現有產品（影集服務）以增加使用量，屬於市場滲透。<br>2.錯誤： (C)需推出全新產品類別。
70,根據 Aaker 品牌權益模型，若某消費者即便在競爭對手推出更低價的產品時，依然堅持購買 A 品牌且會主動推薦給親友。這代表 A 品牌具備了哪項核心價值？,品牌知名度,知覺品質,品牌忠誠度,專屬品牌資產,3,1.正確： 品牌忠誠度是品牌權益的核心，涉及重複購買與對品牌的強烈承諾。<br>2.錯誤： (B)是主觀品質感受，雖有助忠誠但非忠誠行為本身。
71,某頂級精品品牌在通貨膨脹期間宣佈調漲價格 15%，結果銷售量不僅沒有下降，反而因為「保值聯想」吸引更多顧客。若以「需求價格彈性」理論分析，此產品的需求特性為何？,富有彈性 (Elastic),缺乏彈性 (Inelastic),單一彈性 (Unitary),完全彈性,2,1.正確： 需求缺乏彈性代表價格變動對需求量影響小。在高單價精品中，提價有時反而強化高品質認知，銷量波動微小。<br>2.錯誤： (A)指價格微調會導致銷量劇烈變動。
72,某印表機廠商將主機定價極低以吸引首購，但將「專屬墨水匣」定價極高作為主要獲利來源。根據產品組合定價策略，這屬於哪一種類型？,產品線定價,互補品定價 (Captive-product Pricing),兩階段定價,副產品定價,2,1.正確： 互補品（專屬產品）定價係指主產品低價吸引購買，高價耗材獲取長利。<br>2.錯誤： (A)著重系列價差；(C)通常包含固定費加變動費（如電費）。
73,某知名運動品牌原本僅透過實體通路商銷售，後決定開設「品牌直營電商官網」並提供獨家折扣。此舉引發原合作實體通路商不滿，集體抗議。這屬於哪種通路衝突？,水平衝突,垂直衝突,多重通路衝突,內部競爭衝突,2,1.正確： 垂直衝突發生在通路不同層級之間，如製造商直接與下游通路商競爭。<br>2.錯誤： (A)為同層級對手（如零售商對零售商）的衝突。
74,某連鎖加盟餐飲總部透過嚴謹的「加盟合約」，規範加盟主必須統一向總部採購原物料，並維持一致的服務流程。這在垂直行銷系統 (VMS) 中屬於哪一種？,企業式 VMS,管理式 VMS,契約式 VMS,整合式 VMS,3,1.正確： 契約式 VMS 是指通路成員透過合約（如連鎖加盟）結合，依約進行銷售與採購。<br>2.錯誤： (A)需具備所有權；(B)係指透過一方影響力控制而非合約。
75,某電商活動：廣告費 5 萬元、產品成本 10 萬元、其它人力成本 5 萬元。該活動帶來 40 萬元營收。請問該活動的「廣告投資報酬率 (ROAS)」與「投資報酬率 (ROI)」分別為何？,"ROAS=8, ROI=100%","ROAS=2, ROI=200%","ROAS=8, ROI=200%","ROAS=4, ROI=100%",1,1.正確： ROAS = 40/5 = 8；ROI = (40 - (5+10+5)) / (5+10+5) = 20/20 = 100%。<br>2.錯誤： ROI 必須考慮總成本，而 ROAS 僅考慮廣告費。
76,某美妝品牌導入 MarTech 工具，建立「CDP 客戶數據平台」，旨在將線下櫃點、官網、APP 的數據彙整，以針對個別客群進行個人化推薦。CDP 在導購操作中的核心優勢為何？,僅能蒐集第三方匿名數據,建立品牌知名度的告知功能,進行分眾並實現個人化精準推薦,取代所有的廣告投放預算,3,1.正確： CDP 優勢在於整合各渠道數據進行受眾分眾，提高導購轉換率。<br>2.錯誤： (A) 為 DMP 特性；(D) 工具旨在提升效率而非取代預算。
77,某頂級超跑品牌為了增加營收，大量推出價格低廉、設計粗糙的聯名鑰匙圈與貼紙，導致高端客群認為品牌價值感下降。這種風險在品牌管理中稱為？,品牌延伸 (Extension),品牌稀釋 (Dilution),品牌重塑 (Rebranding),品牌共鳴,2,1.正確： 品牌延伸若關聯性低或品質不符預期，會損害原品牌聲譽，造成稀釋。<br>2.錯誤： (A)是策略手段；(C)是重振形象的過程。
78,一家企業想開發「東南亞素食」新市場，但對當地文化、飲食偏好完全不瞭解。為了「尋找消費者潛在需求」並建立初步假說，應優先採取？,敘述性研究,實驗研究法,探索性研究,次級資料量化分析,3,1.正確： 探索性研究用於問題性質不明時，旨在挖掘潛在需求。<br>2.錯誤： (A)用於描述現狀；(B)用於驗證因果。
79,小明購買「高單價、高複雜性」的手術醫療保險時，會極度謹慎地蒐集各家條款資訊。根據行銷理論，這行為是因為消費者感知到何種特質較高？,知覺品質,品牌忠誠度,感知風險 (Perceived Risk),轉換成本,3,1.正確： 當產品單價高或涉及健康風險時，感知風險提升會導致更多資訊搜尋行為。<br>2.錯誤： (A)為主觀品質評價；(D)為切換品牌的成本。
80,某連鎖影城在平日下午出現大量空位，若未售出則該場次的營收便永久損失。此案例具體體現了服務的哪項特性？,無形性 (Intangibility),異質性 (Heterogeneity),易逝性 (Perishability),不可分割性 (Inseparability),3,1.正確： 服務無法儲存，未使用的產能（如空位、空房）會隨時間流逝而損失營收。<br>2.錯誤： (A)指觸摸不到；(B)指品質不一。
81,某知名連鎖餐廳因食材保存不當引發群體食物中毒事件，社群媒體瞬間湧入大量負評與媒體關注。根據品牌危機處理原則，該品牌應優先採取哪一項關鍵行動？,保持沉默，等待熱度自然消退以避免二次傷害,迅速公開道歉，並誠實透明地溝通後續具體補救措施,立即針對發布負評的消費者採取法律行動以維護名譽,專注於開發新菜單並提供折扣，忽略現有負面回饋,2,1.正確： 危機處理首重「迅速回應、誠實負責、透明溝通」，以守住品牌信譽。<br>2.錯誤： (A)會引發公憤；(C)會惡化公關危機；(D)屬逃避問題核心。
82,某日系拉麵店慶祝在台 10 周年推出「尋人活動」，只要姓名有特定字眼且順連在一起就能「免費吃麵一年」。這種透過創造話題引發媒體報導與社群擴散的手法，屬於哪種行銷操作？,理性訴求優惠,感性對話引導,產品屬性展示,媒體議題操作 (MPR),4,1.正確： 利用具話題性的事件吸引媒體報導與自發性擴散，是典型的行銷公關議題操作。<br>2.錯誤： (A) 僅是手段之一；(B) 重點在話題而非情感深談；(C) 與產品規格無關。
83,關於公共關係 (PR) 與廣告 (Advertising) 的差異化辨識，下列敘述何者正確？,PR 對訊息的掌控權高於廣告,廣告的對象通常是企業的所有利害關係人,廣告旨在與各界建立良好關係，PR 則以販售商品為主,PR 的訊息掌控權較低，通常需透過與新聞媒體互動獲得曝光,4,1.正確： 公關透過第三方媒體曝光，對訊息內容與刊出時機的掌控權低於付費廣告。<br>2.錯誤： (A) 掌控權相反；(B) 廣告對象以消費者為主；(C) 兩者目標敘述互換。
84,某科技大廠發生重大的環境污染爭議，引發社會輿論撻伐。在危機處理的過程中，企業應如何展現誠意以有效化解危機？,由公關部基層專員發表文字聲明即可,企業高層應親自出面解釋並說明處理方案,寧可以「不予回應」來搪塞媒體，直到法律判決確定,立即投入大量廣告費用來掩蓋負面新聞,2,1.正確： 危機時期由高層親自出面說明與道歉，能最有效展現企業負責的態度與誠意。<br>2.錯誤： (A) 誠意不足；(C) 會引發媒體更大反彈；(D) 容易被視為試圖操縱輿論。
85,2001 年 911 恐怖攻擊事件後的一周，全球快時尚品牌 ZARA 迅速將貨架上色彩繽紛的衣服換成黑色以示哀悼。此做法主要運用了哪一種行銷手法？,病毒式行銷,比較型廣告,事件行銷 (Event Marketing),人員銷售策略,3,1.正確： 事件行銷是指針對特定社會或文化事件進行即時的行銷反應或規劃，以與消費者產生共鳴。<br>2.錯誤： (A) 重點非病毒擴散；(B) 未與對手比較；(D) 屬溝通策略而非銷售技巧。
86,根據媒體類型分類，某品牌因為產品設計優良，引發網友在 Dcard 或 PTT 上自發性撰寫開箱好評，進而獲得品牌曝光。這屬於 POEM 模型中的哪一類媒體？,付費媒體 (Paid),獲得媒體 (Earned),自有媒體 (Owned),分享媒體 (Shared),2,1.正確： 獲得媒體（Earned）是指非付費、非自有的第三方自發性口碑、報導或討論。<br>2.錯誤： (A) 需花錢購買；(C) 為官網或粉專；(D) 雖有重疊，但 iPAS 樣題中通常歸類為獲得媒體。
87,某清潔用品公司在廣告中邀請穿著白袍的牙醫或實驗室技師，以專業權威的語氣說明產品的除菌數據。這屬於廣告訊息訴求中的哪一類？,感性訴求,理性訴求,自我表達訴求,社會責任訴求,2,1.正確： 理性訴求鎖定消費者的認知層面，強調產品的功能優點、品質數據或效益。<br>2.錯誤： (A) 訴諸情緒；(C) 訴諸個人風格與地位。
88,某企業公關部門的主要任務包含：與民意代表及政府官員進行溝通，以影響有利於產業發展的法令規章制定。這項公關功能稱為？,媒體關係,產品發佈,政治遊說 (Lobbying),危機處理,3,1.正確： 與官方或立法機構溝通以影響法令，是公關功能中的「政治遊說」面向。<br>2.錯誤： (A)(B)(D) 皆非針對法令影響的溝通。
89,行銷公關 (MPR) 經常使用的工具眾多。若企業定期發布公司年報、刊物，或重新設計企業視覺識別系統（CIS）以形塑品牌形象，這屬於哪類 MPR 工具？,事件舉辦,品牌識別與出版品,活動贊助,公共服務,2,1.正確： 出版品與品牌視覺識別是 MPR 中建立長期品牌形象與公信力的重要工具。<br>2.錯誤： (A)(C)(D) 屬於 MPR 的其他不同手段。
90,衡量「品牌忠誠度」時，下列關於「認知」與「忠誠」的敘述何者正確？,消費者只要能認出 Logo 標誌，即代表具備品牌忠誠度,品牌忠誠度通常涉及重複購買行為以及消費者對品牌的承諾,知名度越高的品牌，其忠誠度一定也越高,忠誠度與知覺品質完全無關,2,1.正確： 忠誠度是品牌權益的核心，須具備重複購買行為與心理承諾，非僅僅是「認得」。<br>2.錯誤： (A)僅是知名度門檻；(C)兩者相關但非絕對正比；(D)知覺品質是忠誠度的基礎之一。
91,三星（Samsung）將其手機、電視及各式家電產品皆冠以「Samsung」品牌名稱。關於此「家族品牌策略」的分析，下列何者「錯誤」？,該策略可大幅節省新產品進入市場的推廣成本,有助於建立統一且強大的企業形象聯想,若其中一項產品發生嚴重品質瑕疵，可能損及整體品牌形象,每個品牌可以針對完全不同的目標市場進行極致的精準區隔,4,1.正確： 家族品牌較難針對不同市場做極致區隔，這通常是「個別品牌」的優點。<br>2.錯誤： (A)(B)(C) 皆為家族品牌策略的標準優點或風險。
92,寶僑（P&G）在洗衣精市場同時經營「汰強」與「碧浪」等品牌，且內部由不同的品牌經理負責。此種「個別品牌策略」最核心的市場目的為何？,集中行銷資源以獲取規模經濟效益,降低品牌設計與包裝研發的總費用,針對不同區隔市場提供差異化選擇並實現市場全面覆蓋,利用母公司的知名度為新產品進行信任背書,3,1.正確： 個別品牌能針對不同客群精準定位，雖然成本最高，但市場覆蓋最廣。<br>2.錯誤： (A)(B)(D) 皆為「家族品牌」或「副品牌」的特徵。
93,桂格公司推出「完膳」營養補給品，在包裝上同時並列「桂格」母品牌標誌。此種「副品牌策略」在實務操作上的主要優勢為何？,讓副品牌具備完全獨立於母品牌的形象,利用母品牌的品牌力提供信任背書，同時強調副品牌的獨特性,避免任何母品牌負面消息對新產品產生的波及,徹底消除消費者對產品類別的混淆,2,1.正確： 副品牌結合了主品牌的信譽與子品牌的差異化定位。<br>2.錯誤： (A) 獨立形象是個別品牌；(C) 副品牌與母品牌關聯緊密，風險會連動。
94,當筆記型電腦機身上貼有「Intel Inside」或戶外夾克標示「GORE-TEX」時，這種將產品關鍵成分或技術作為品牌一部分來推廣的作法稱為？,聯合品牌 (Co-Branding),要素品牌 (Ingredient Branding),授權品牌 (Licensing),線性延伸 (Line Extension),2,1.正確： 要素品牌是將關鍵成分或技術獨立品牌化以吸引消費者。<br>2.錯誤： (A) 為兩品牌地位對等合作；(C) 是付費取得商標使用權。
95,屈臣氏（Watsons）與好市多（Costco）開發自有品牌（如 Kirkland），委託第三方代工生產並掛上自己的商標。關於「自有品牌」的敘述何者正確？,其利潤率通常低於製造商品牌,主要目的是為了減少產品線的寬度,旨在以較低成本提供選擇，並提升零售商的利潤與競爭力,消費者對自有品牌的認知度在現代已趨於消失,3,1.正確： 自有品牌能提升通路利潤並控制品質與價格。<br>2.錯誤： (A) 利潤率通常較高；(B) 有助於擴展產品線豐富度。
96,迪士尼（Disney）將「米老鼠」形象授予臺灣玩具商，玩具商需支付許可費用。這種品牌擁有權類型與策略稱為？,自有品牌策略,共同品牌策略,授權品牌 (Licensing),品牌線性延伸,3,1.正確： 授權品牌指所有者授予資產使用權以換取許可費。<br>2.錯誤： (A) 屬零售通路開發；(B) 是雙方共同推產品；(D) 屬同一類別新品。
97,New Balance 公司成功推出慢跑鞋後，利用同一商標推出運動服、專業背包及休閒配件。根據定義，這屬於哪種品牌延伸策略？,線性延伸 (Line Extension),品牌類別延伸 (Category Extension),品牌授權策略,品牌重新定位,2,1.正確： 利用既有品牌進入「新產品類別」（非鞋類）即為類別延伸。<br>2.錯誤： (A) 是指在同類別推新品（如新款跑鞋）；(D) 是改變形象定位。
98,某企業負責人欲瞭解商標法律保護。根據我國《商標法》，關於「商標權」的特性，下列敘述何者正確？,商標權一旦取得即永久有效，無需辦理展延,商標權採取屬地主義，在臺灣註冊即代表全球受保護,商標權期限自註冊公告日起算 10 年，且可無限次展延,只要公司名稱經過登記，就自動取得商標權保護,3,1.正確： 商標權為 10 年，可每次延展 10 年，是唯一可永久存續的智財權。<br>2.錯誤： (B) 屬地主義指僅在當地有效；(D) 兩者法源不同，登記公司名不代表取得商標權。
99,某麵食品牌取名為「讚岐」（讚岐為日本著名地名），引發識別性爭議。根據商標法實務，關於「描述性標識」或「地理名稱」的敘述何者正確？,地理名稱因為不具任何意義，所以絕對禁止註冊為商標,原則上不得註冊，惟經長期使用並取得「後天識別性」者始得受保護,只要是著名地名，一經申請即享有全球排他性保護,描述性標識不需申請商標，因為著作權法會自動保護,2,1.正確： 描述性標識經長期使用並讓消費者產生來源認知後（識別性），才受保護。<br>2.錯誤： (D) 著作權不自動延伸至商業識別標識。
100,某小型電商在未經授權下截取 IG 名模照片製成廣告，該電商主張照片已公開且名模為公眾人物。此行為最可能面臨的法律風險為何？,僅違反民法誠信原則，不涉及刑事責任,侵犯名模的肖像權以及照片攝影師的著作權,屬於合理使用範圍，因其並未改變照片內容,該行為僅違反廣告公平交易法，與智財權無關,2,1.正確： 未經同意營利使用他人照片侵犯肖像權與著作權。<br>2.錯誤： (C) 營利目的通常不符合合理使用；(D) 智財權是核心風險。
101,小花被電視上 A 品牌手機的廣告吸引，隨後到網路搜尋網友評價，覺得很喜歡後直接在網站下單，收到貨後拍了開箱照貼在社群分享。請問在 AISAS 模型中，小花「上網搜尋評價」與「貼開箱文」分別屬於哪兩個階段？,Interest / Action,Attention / Share,Search / Share,Search / Action,3,1.正確： 根據數位消費軌跡，主動爬文看開箱屬搜尋 (Search)，發社群限動屬分享 (Share)。<br>2.錯誤： (A) 興趣與行動非此兩行為核心；(B) 注意是第一步；(D) 訂單才是行動。
102,品牌行銷中常提到「感知風險 (Perceived risk)」。若一位消費者在購買昂貴的高級珠寶時，因為擔心朋友覺得這款珠寶「俗氣或不符合身分」而猶豫不決，這主要屬於哪一類風險？,功能性風險,財務性風險,社會性風險,時間風險,3,1.正確： 社會性風險涉及其他消費者的看法、從眾行為與社會規範對個人形象的影響。<br>2.錯誤： (A) 指功能不達預期；(B) 指價值不如價格；(D) 指耗費時間成本。
103,根據思慮可能模式 (ELM)，當消費者在購買「買飲料、買零食」等低涉入產品時，通常會採取哪一種決策路徑？,中央途徑 (Central Route),周邊途徑 (Peripheral Route),結構化途徑,多樣化途徑,2,1.正確： 低涉入產品因動機與能力較低，消費者傾向參考包裝、代言人或品牌等周邊線索快速決策。<br>2.錯誤： (A) 為高涉入產品採取的理性深思路徑；(C)(D) 非該模型標準術語。
104,廣告活動的目標之一是讓消費者在眾多產品中「知曉品牌的存在」。若消費者在經過廣告洗禮後，將 A 品牌列入「最終評估並準備購買」的名單中，此集合稱為？,整體集合,知曉集合 (Awareness Set),考慮集合 (Consideration Set),選擇性集合,3,1.正確： 考慮集合是指消費者在搜尋資訊後，納入最終評估階段的產品名單。<br>2.錯誤： (A) 包含所有產品；(B) 僅指消費者知道的產品；(D) 非標準決策術語。
105,某企業進行 SWOT 分析時，發現「過去三年內公司的市場佔有率連續下滑」。請問這項因素在模型中應如何歸類？,外部威脅 (Threat),外部機會 (Opportunity),內部劣勢 (Weakness),內部優勢 (Strength),3,1.正確： 市佔率下滑屬於企業內部的績效表現問題，屬劣勢。<br>2.錯誤： (A) 威脅必須來自外部環境（如法規、對手），許多考生常將市佔下滑誤歸為威脅。
106,某行銷研究者希望透過政府發布的「人口普查報告」與「產業銷售記錄」來分析明年市場趨勢。這種利用「現有資料」進行分析的方法稱為收集何種資料？,初級資料 (Primary Data),次級資料 (Secondary Data),探索性資料,質性資料,2,1.正確： 利用政府統計、現有書籍或企業現成記錄等非為當下研究目的收集的資料即為次級資料。<br>2.錯誤： (A) 為研究者直接去收集的原始資料。
107,研發新產品或進入完全陌生市場前，為了「尋找消費者需求」或「了解問題根本性質」而進行的初步研究，其正確名稱與常用方法為何？,敘述性研究 / 問卷調查,探索性研究 / 深度訪談,因果性研究 / 實驗法,績效評估 / 銷售分析,2,1.正確： 探索性研究用於問題性質不明時，常搭配質性的深度訪談或觀察法挖掘需求。<br>2.錯誤： (A) 用於描述現象特徵；(C) 用於驗證變數因果。
108,消費者對於產品的「態度」心理結構複雜。若小明說：「我『喜歡』某品牌所傳達的環保理念」，這屬於態度結構中的哪一個成分？,認知因素 (Cognitive),情感因素 (Affective),行為意圖 (Behavioral),社會規範,2,1.正確： 情感因素涉及消費者對品牌的好惡與情感投射。<br>2.錯誤： (A) 指知識與信念（知道什麼）；(C) 指購買或採取行動的意願。
109,根據赫茲伯格的「雙因子理論」，餐飲業中的「食品衛生安全」通常被歸類為哪一種因子？,激勵因子 (Motivator),保健因子 (Hygiene),關鍵因子,核心因子,2,1.正確： 保健因子是基本底線（如食安、APP不當機），沒做到會被罵，做到則是應該。<br>2.錯誤： (A) 指能帶來額外驚喜與滿意度的賣點。
110,企業運用 CDP (Customer Data Platform) 客戶數據平台，將官網、APP 與實體門市數據整合。此系統在導購操作中的核心優勢為何？,僅能蒐集匿名第三方數據,取代所有廣告推廣費用,進行受眾分眾並實現個人化精準推薦,增加網站的 Google 自然排名,3,1.正確： CDP 透過整合各渠道數據進行精準分眾，進而提高導購成功率。<br>2.錯誤： (A) 屬 DMP 特徵；(B) 工具旨在提升效率而非取代預算；(D) 是 SEO 的功能。
111,消費者購買智慧型手機是為了「即時通訊與娛樂解決方案」，但業者額外提供的「兩年原廠保固」與「全台維修點快修服務」屬於產品層次中的哪一部分？,核心產品 (Core),實體產品 (Actual),延伸產品 (Augmented),潛在產品,3,1. 正確： 延伸產品指隨實體產品提供的附加服務與利益，如保固、維修。<br>2. 錯誤： (A) 為核心利益；(B) 為產品實體本身（如外觀、功能）。
112,某美妝集團原本僅生產「化妝品」，後決定新增「洗髮精」與「沐浴乳」兩條完全不同的產品線。在產品組合管理中，這代表該集團增加了產品組合的？,長度 (Length),寬度 (Width),深度 (Depth),一致性 (Consistency),2,1. 正確： 產品組合寬度是指企業擁有的「產品線（類別）數量」。<br>2. 錯誤： (A) 為品項總數；(C) 為單一產品的變體數。
113,某頂級豪華轎車品牌發現，許多年輕菁英嚮往其品牌但財力不足以購買旗艦車款，且競爭對手已推出入門級小車搶市。若該品牌決定推出「較低價位的入門車型」，此決策稱為？,產品線向上延伸,產品線向下延伸,產品線填補,產品線刪減,2,1. 正確： 向下延伸指在既有產品線中加入低價位新產品，以牽制對手或擴大市佔。<br>2. 錯誤： (A) 往高階走；(C) 增加同級品。
114,某款新型電動滑板車進入「成長期 (Growth)」後，市場需求激增但競爭者也紛紛加入。此時該品牌的整合行銷溝通 (IMC) 重點應如何調整？,強調產品獨特性以吸引早期採用者,從「產品知曉」轉為「建立品牌偏好」,採大幅度折扣以清理庫存,僅運用低成本管道進行服務,2,1. 正確： 成長期目標是建立品牌知名度與偏好，並提高市場滲透率。<br>2. 錯誤： (A) 為導入期；(C)(D) 屬成熟或衰退期做法。
115,當市場上滿街都是同類產品（如經典款氣泡水），且銷售成長趨緩、競爭極其劇烈。根據產品生命週期理論，此時企業最應採取的經營心法為何？,砸大錢打知名度以教育市場,透過「改規格、拚促銷」防禦市佔,減少所有行銷預算並有序退出,尋找創新者進行試銷售,2,1. 正確： 成熟期（紅海）需透過產品調整（改規格）與促銷來防禦競爭並穩固忠誠度。<br>2. 錯誤： (A) 為導入期；(C) 為衰退期。
116,某洋芋片品牌在其既有的「原味」與「起司」產品線範圍內，再增加「海苔」與「辣味」等新口味，使該產品線更加全面。此種決策屬於？,產品線延伸 (Stretching),產品線填補 (Line Filling),產品線現代化,產品線特色化,2,1. 正確： 在現有產品線範圍內增加更多項目，旨在使產品線更完整，稱為填補。<br>2. 錯誤： (A) 涉及跨出原價位區間。
117,當產品進入「衰退期」，企業決定採取「收割策略（Harvesting）」時，下列哪一項行銷操作「不符合」此階段的目標？,利用電子郵件與官網等低成本管道維繫舊客,投入大量廣告預算進行品牌形象重塑,採大幅度折扣或綑綁銷售以加快回收成本,減少非必要的公關與贊助活動,2,1. 正確： 衰退期旨在降低成本，不應投入大量廣告。重塑形象通常用於成熟期轉型。<br>2. 錯誤： (A)(C)(D) 皆為衰退期節流或回收成本之正當手段。
118,某食品企業同時生產「鮮奶」與「優格」，這兩條產品線在生產設備、行銷通路與目標客群上都非常相近。這代表該企業的產品組合具備高度的？,寬度,長度,一致性 (Consistency),深度,3,1. 正確： 產品組合一致性指不同產品線在生產、通路或用途上的相關程度。<br>2. 錯誤： (A)(B)(D) 皆為數量的描述，而非關聯性的描述。
119,某知名慢跑鞋品牌利用既有的強大品牌資產，決定跨足開發「專業戶外帳篷」與「登山睡袋」。根據定義，這屬於哪種品牌策略？,品牌線性延伸 (Line Extension),品牌類別延伸 (Category Extension),品牌授權 (Licensing),品牌重塑 (Rebranding),2,1. 正確： 利用既有品牌進入「新產品類別」（非鞋類）即為類別延伸（品牌延伸）。<br>2. 錯誤： (A) 指在同類別推相關新品；(C) 為付費授權。
120,企業透過提供「產品使用訓練」與「例行保養服務」來減少消費者因操作不當導致的故障。這在品牌管理中能產生什麼具體效益？,降低產品的生產成本,提升消費者的知覺品質 (Perceived Quality),縮短新產品的研發時間,取代品牌知名度的建立,2,1. 正確： 產品支援服務（售後服務）能有效提升消費者對品質的主觀認知與滿意度。<br>2. 錯誤： (A) 服務會增加成本；(C) 與研發無關；(D) 兩者相輔相成而非取代。
121,某科技品牌推出具備獨家 AI 晶片的旗艦筆電，上市初期將售價訂為遠高於市場平均的 10 萬元，旨在吸引願意支付高價的「創新者」，以快速回收高額研發成本。此策略為？,滲透定價法,撇脂定價法 (Skimming),損益平衡定價法,習慣定價法,2,1.正確： 撇脂定價法是在新產品上市初期定高價，從市場中「吸取」最大利潤並快速回收成本。<br>2.錯誤： (A) 為初期定低價；(C) 旨在損益兩平；(D) 根據市場公認區間定價。
122,一家新進入的本土手搖飲品牌，為了在競爭激烈的商圈中快速打響知名度並搶佔市場佔有率，決定在開幕前三個月將全品項價格訂在同業的一半。此策略為？,撇脂定價法,滲透定價法 (Penetration),聲望定價法,差別定價法,2,1.正確： 滲透定價法是在產品進入市場初期定低價，藉此打開銷路並擴大市佔率。<br>2.錯誤： (A) 為初期高價；(C) 旨在展現地位；(D) 針對不同區隔定價。
123,某刮鬍刀品牌在通路推廣時，常將「刮鬍刀架」以極低價銷售，甚至作為贈品，但其後續必需更換的「專屬刀片」則訂價極高以作為主要獲利來源。此策略稱為？,產品線定價,互補品定價 (Captive-product),兩階段定價,配套定價,2,1.正確： 互補品（專屬產品）定價係指主產品低價、必需搭配的耗材高價的策略。<br>2.錯誤： (A) 著重系列價差；(C) 包含固定與變動費；(D) 組合販售。
124,根據「需求價格彈性」理論，若某民生必需品（如食鹽）在調漲價格 20% 後，市場需求量僅微幅下降 1%，代表該產品的需求特性為何？,富有彈性,缺乏彈性 (Inelastic),單一彈性,完全彈性,2,1.正確： 需求缺乏彈性代表價格變動對需求量影響小，常見於必需品或忠誠度高的產品。<br>2.錯誤： (A) 指價格微調即導致銷量劇烈變動。
